id,query,sql,query_type,expectation,dataset,attribute,notes
1,Show me everything OS knows about {input_location}.,"(SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE {input_location}) UNION ALL (SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.sites.ngd_sites WHERE {input_location}) UNION ALL (SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.water.ngd_water_features_water WHERE {input_location}) UNION ALL (SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.land.ngd_land WHERE {input_location}) UNION ALL (SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.transport_features.ngd_road_track_or_path WHERE {input_location}) UNION ALL (SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.structure.ngd_structure WHERE {input_location}) UNION ALL (SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.structure.ngd_compound_structure WHERE {input_location})",spatial_range,expect_sql,,,Need to combine all available layers.
2,Show me everything OS knows about 'electricity' in {input_location}.,"(SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE {input_location} AND description IN ('Biogas Power Station', 'Electricity Distribution Facility', 'Electricity Storage Facility', 'Electricity Sub Station', 'Hydroelectric Power Generating', 'Power Station', 'Solar Power Facility', 'Tidal Power Station')) UNION ALL (SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.sites.ngd_sites WHERE {input_location} AND (description IN ('Electricity Distribution Site', 'Electricity Storage Site', 'Electricity Sub Station', 'Biogas Power Station', 'Hydroelectric Power Generating', 'Power Station', 'Solar Power Site', 'Tidal Power Station') OR array_contains(oslandusetierb, 'Electricity Distribution') OR array_contains(oslandusetierb, 'Energy Generation'))) UNION ALL (SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.structure.ngd_structure WHERE {input_location} AND description IN ('Electricity Metal Monopole', 'Electricity Pylon'))",attribute_filter,expect_sql,,,
3,What information do you have on roofs for {input_location}?,"SELECT osid, theme, roofmaterial_primarymaterial, roofmaterial_solarpanelpresence, roofmaterial_greenroofpresence, roofshapeaspect_shape, roofshapeaspect_areapitched_m2, roofshapeaspect_areaflat_m2,roofshapeaspect_areafacingnorth_m2,roofshapeaspect_areafacingnortheast_m2,roofshapeaspect_areafacingeast_m2, roofshapeaspect_areafacingsoutheast_m2, roofshapeaspect_areafacingsouth_m2, roofshapeaspect_areafacingsouthwest_m2, roofshapeaspect_areafacingwest_m2, roofshapeaspect_areafacingnorthwest_m2, roofshapeaspect_areaindeterminable_m2, roofshapeaspect_areatotal_m2, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE {input_location};",attribute_filter,expect_sql,building,"roofmaterial_primarymaterial, roofmaterial_solarpanelpresence, roofmaterial_greenroofpresence, roofshapeaspect_shape, roofshapeaspect_areapitched_m2, roofshapeaspect_areaflat_m2,roofshapeaspect_areafacingnorth_m2,roofshapeaspect_areafacingnortheast_m2,roofshapeaspect_areafacingeast_m2,roofshapeaspect_areafacingsoutheast_m2, roofshapeaspect_areafacingsouth_m2, roofshapeaspect_areafacingsouthwest_m2, roofshapeaspect_areafacingwest_m2, roofshapeaspect_areafacingnorthwest_m2, roofshapeaspect_areaindeterminable_m2,  roofshapeaspect_areatotal_m2",
4,What information do you have on wetlands in {input_location}?,"SELECT osid, theme, description, geometry_wgs84 FROM product_data_store.land.ngd_land WHERE {input_location} AND description IN ('Marsh', 'Marsh And Heath Or Rough Grassland', 'Marsh And Heath Or Rough Grassland And Scattered Coniferous Trees', 'Marsh And Heath Or Rough Grassland And Scattered Mixed Trees', 'Marsh And Heath Or Rough Grassland And Scattered Non-Coniferous Trees', 'Marsh And Heath Or Rough Grassland And Scrub', 'Marsh And Non-Coniferous Trees', 'Marsh And Non-Coniferous Trees And Scrub', 'Marsh And Scattered Boulders Or Scattered Rock', 'Marsh And Scrub');",attribute_filter,expect_sql,land,description,
5,Show me all the buildings in {input_location}.,"SELECT osid, description, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE {input_location};",spatial_range,expect_sql,building,,
6,Show me all the buildings that are within 1km of {{location:Romsey}}.,"WITH location_buffer AS (SELECT st_union_agg(st_buffer(geometry, 1000)) AS geometry FROM product_data_store.named_features.ngd_named_area_deduped WHERE name = 'Romsey') SELECT b.osid, b.description, b.geometry_wgs84 FROM product_data_store.buildings.ngd_building b, location_buffer lb WHERE st_intersects(b.geometry, lb.geometry);",proximity,expect_sql,building,,
7,Show me all commercial buildings that are within 5km of {{location:Romsey}}.,"WITH location_buffer AS (SELECT st_union_agg(st_buffer(geometry, 1000)) AS geometry FROM product_data_store.named_features.ngd_named_area_deduped WHERE name = 'Romsey') SELECT b.osid, b.description, b.buildinguse_addresscount_commercial, b.geometry_wgs84 FROM product_data_store.buildings.ngd_building b, location_buffer lb WHERE buildinguse_addresscount_commercial > 0 AND st_intersects(b.geometry, lb.geometry);","proximity,attribute_filter",expect_sql,building,buildinguse_addresscount_commercial,
8,"Show me all the buildings that are within 1km of (435662.6, 121603.3).","WITH location_geometry AS (SELECT st_buffer(st_setsrid(st_point(435662.6,121603.3), 27700), 1000) AS geometry) SELECT b.osid, b.description, b.geometry_wgs84 FROM product_data_store.buildings.ngd_building b, location_geometry l WHERE st_intersects(st_setsrid(b.geometry, 27700), l.geometry);",proximity,expect_sql,building,,
9,Show me all the buildings that are near {input_location}.,"SELECT osid, description, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE {input_location};",spatial_range,expect_sql,building,,
10,Show me buildings that are between 1km and 2km away from {{location:Romsey}}.,"WITH location_geometry AS (SELECT geometry FROM product_data_store.named_features.ngd_named_area_deduped WHERE name = 'Romsey'), buffer_difference AS (SELECT st_difference(st_union_agg(st_buffer(geometry, 2000)), st_union_agg(st_buffer(geometry, 1000))) AS geometry FROM location_geometry) SELECT b.osid, b.description,  b.geometry_wgs84 FROM product_data_store.buildings.ngd_building b, buffer_difference bd WHERE st_intersects(st_setsrid(b.geometry, 27700), bd.geometry);",proximity,expect_sql,building,,
11,Which buildings in {input_location} already have solar panels?,"SELECT osid, description, roofmaterial_solarpanelpresence, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE roofmaterial_solarpanelpresence='Present' AND {input_location};",attribute_filter,expect_sql,building,roofmaterial_solarpanelpresence,
12,Show me homes in {input_location}.,"SELECT osid, description, buildinguse_addresscount_residential, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE buildinguse_addresscount_residential > 0' AND {input_location};",attribute_filter,expect_sql,building,buildinguse_addresscount_residential,"""Home"" is interpreted as any property within a building in which someone lives, i.e. there is at least one residential address."
13,Show me all buildings in {input_location} with at least one residential postal address.,"SELECT osid, description, buildinguse_addresscount_residential, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE buildinguse_addresscount_residential > 0 AND {input_location};",attribute_filter,expect_sql,building,buildinguse_addresscount_residential,"I.e. a ""home"""
14,Where are houses in {input_location} that were built after 2000?,"SELECT osid, description, buildinguse_addresscount_residential, buildinguse_addresscount_total, buildingage_year, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE buildinguse_addresscount_residential > 0 AND buildinguse_addresscount_total = 1 AND buildingage_year >= 2000 AND {input_location};",attribute_filter,expect_sql,building,"buildinguse_addresscount_residential, buildinguse_addresscount_total,buildingage_year","""House"" is interpreted as a single residential dwelling. To avoid mixed use or multi-dwelling buildings, use address counts."
15,Where are buildings in {input_location} that were built in 1991?,"SELECT osid, buildingage_period, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE buildingage_period = '1990-1999' AND {input_location}",attribute_filter,expect_sql,building,buildingage_period,"Single year building age is mainly available after 1999, the range is approximate."
16,Where are houses in {input_location} that were built before 1960?,"SELECT osid, description, buildinguse_addresscount_residential, buildinguse_addresscount_tota, buildingage_period, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE buildinguse_addresscount_residential > 0 AND buildinguse_addresscount_total = 1 AND buildingage_period IN ('Pre-1837','Pre-1919','1837-1869','1870-1918','1919-1944','1945-1959') AND {input_location};",attribute_filter,expect_sql,building,"buildinguse_addresscount_residential, buildinguse_addresscount_tota,buildingage_period",
17,Which buildings in {input_location} have good solar power potential?,"SELECT osid, description, roofmaterial_solarpanelpresence, roofmaterial_primarymaterial, buildingage_period, roofshapeaspect_shape, roofshapeaspect_areafacingsouth_m2, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE  roofmaterial_solarpanelpresence = 'Not Present' AND roofmaterial_primarymaterial NOT IN ('Fabric', 'Glass or Polycarbonate', 'Mixed', 'Green Roof', 'Thatch', 'Unknown') AND buildingage_period IN ('1919-1944', '1945-1959', '1960-1979', '1980-1989', '1990-1999', '2000-2009', '2010-2019', '2020-2029', '2030-2039') AND roofshapeaspect_shape != 'Flat' AND roofshapeaspect_areafacingsouth_m2 > 0 AND {input_location};",attribute_filter,expect_sql,building,"description,roofmaterial_primarymaterial,roofshapeaspect_shape,buildingage_period,roofmaterial_solarpanelpresence,roofshapeaspect_areafacingsouth_m2",Requires assumptions about factors defining solar potential. See example: https://storymaps.arcgis.com/stories/452dccc011644a668cf0e674adb27dbe.
18,Show me the top 10 largest buildings by area in {input_location}.,"SELECT osid, description, geometry_area_m2, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE {input_location} ORDER BY geometry_area_m2 DESC LIMIT 10;",attribute_filter,expect_sql,building,geometry_area_m2,
19,Which buildings in {input_location} are 3m or less above sea level?,"SELECT osid, description, height_absolutemin_m, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE height_absolutemin_m <= 3 AND {input_location};",attribute_filter,expect_sql,building,height_absolutemin_m,
20,Which buildings in {input_location} have at least 3 floors?,"SELECT osid, description, numberoffloors, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE numberoffloors >= 3 AND {input_location};",attribute_filter,expect_sql,building,numberoffloors,
21,Find all the tall buildings that are over 18m or 7 storeys tall in {input_location}.,"SELECT osid, description, numberoffloors, height_relativeroofbase_m, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE (numberoffloors > 7 OR height_relativeroofbase_m > 18) AND {input_location};",attribute_filter,expect_sql,building,"numberoffloors,height_relativeroofbase_m",
22,Show me buildings with flammable external material or roof in {input_location}.,"SELECT osid, description, constructionmaterial, roofmaterial_primarymaterial, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE (constructionmaterial IN ('Timber Or Wood', 'Static Caravan Or Mobile Home', 'Mixed (Masonry And Timber)') OR roofmaterial_primarymaterial IN ('Fabric', 'Mixed', 'Thatch')) AND {input_location};",attribute_filter,expect_sql,building,"constructionmaterial,roofmaterial_primarymaterial",Does not include information on cladding materials.
23,Where are commercial buildings taller than 10 m in {input_location}?,"SELECT osid, description, buildinguse_addresscount_commercial, height_relativeroofbase_m, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE buildinguse_addresscount_commercial > 0 AND height_relativeroofbase_m > 10 AND {input_location};",attribute_filter,expect_sql,building,"buildinguse_addresscount_commercial,height_relativeroofbase_m",
24,Which houses in {input_location} have a basement?,"SELECT osid, description, buildinguse_addresscount_residential, basementpresence, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE buildinguse_addresscount_residential > 0 AND basementpresence = 'Present' AND {input_location}",attribute_filter,expect_sql,building,"basementpresence, buildinguse_addresscount_residential",Less strict definition of a house to be a building with some residential function.
25,Show buildings that have a basement flat in {input_location}.,"SELECT osid, description, buildinguse_oslandusetiera, basementpresence_selfcontained, st_astext(geometry) FROM product_data_store.buildings.ngd_building WHERE buildinguse_oslandusetiera = 'Residential Accommodation' AND basementpresence_selfcontained = 'Present' AND {input_location}",attribute_filter,expect_sql,building,"basementpresence_selfcontained,buildinguse_oslandusetiera",
26,Show me the building where OSID = '502c37bc-408b-4156-ac74-8d07946cffbe',"SELECT osid, description, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE osid = '502c37bc-408b-4156-ac74-8d07946cffbe'",attribute_filter,expect_sql,building,osid,
27,Which buildings are within 5 km of the building with OSID = '502c37bc-408b-4156-ac74-8d07946cffbe'?,"WITH location_geometry AS (SELECT st_buffer(geometry, 1000) AS geometry FROM product_data_store.buildings.ngd_building WHERE osid = '502c37bc-408b-4156-ac74-8d07946cffbe') SELECT b.osid, b.description, b.geometry_wgs84 FROM product_data_store.buildings.ngd_building b, location_geometry l WHERE st_intersects(st_setsrid(b.geometry, 27700), l.geometry);","proximity,attribute_filter",expect_sql,building,osid,
28,Which residential buildings in {input_location} are likely hard to heat?,"SELECT osid, description, buildinguse_addresscount_residential, buildinguse_addresscount_total, connectivity, buildingage_period, constructionmaterial, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE (buildinguse_addresscount_residential > 0 AND buildinguse_addresscount_total = 1) AND connectivity = 'Standalone' AND buildingage_period IN ('Pre-1837', 'Pre-1919', '1837-1869', '1870-1918', '1919-1944', '1945-1959') AND constructionmaterial IN ('Mixed (Plaster And Timber)', 'Static Caravan Or Mobile Home', 'Timber Or Wood') AND {input_location};",attribute_filter,expect_sql,building," buildinguse_addresscount_residential, buildinguse_addresscount_total,description,connectivity,buildingage_period,constructionmaterial",Requires assumptions about building types and materials that are hard to heat. Does not use EPC data. See example: https://storymaps.arcgis.com/stories/a00a022527114c65883cc185c429d9e0
29,Which buildings in {input_location} have green roofs?,"SELECT osid, description, roofmaterial_greenroofpresence, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE roofmaterial_greenroofpresence = 'Present' AND {input_location}",attribute_filter,expect_sql,building,roofmaterial_greenroofpresence,
30,Where are primary schools in {input_location}?,"SELECT osid, description, oslandusetierb, geometry_wgs84 FROM product_data_store.sites.ngd_sites WHERE {input_location} AND arrays_overlap(oslandusetierb, array('Primary School', 'Non State Primary Or Preparatory School')) ",attribute_filter,expect_sql,site,oslandusetierb,
31,Show me all the SEN school sites in {input_location}.,"SELECT osid, description, oslandusetierb, geometry_wgs84 FROM product_data_store.sites.ngd_sites WHERE {input_location} AND array_contains(oslandusetierb, 'School For Special Needs') ",attribute_filter,expect_sql,site,oslandusetierb,
32,Show me all the areas of trees within {input_location}.,"SELECT osid, oslandcovertiera, geometry_wgs84 FROM product_data_store.land.ngd_land WHERE {input_location} AND oslandcovertiera = 'Trees'",attribute_filter,expect_sql,land,oslandcovertiera,
33,Show me all the playing fields in {input_location}.,"SELECT osid, description, geometry_wgs84 FROM product_data_store.sites.ngd_sites WHERE {input_location} AND description IN ('Playing Field')",attribute_filter,expect_sql,site,description,
34,Show me buildings in {input_location} that are within 150m of a river.,"WITH buildings AS (SELECT osid, description, geometry, geometry_wgs84 FROM product_data_store.buildings.ngd_building WHERE {input_location}), rivers AS (SELECT st_union_agg(st_buffer(w.geometry, 150)) AS geometry FROM product_data_store.water.ngd_water_features_water w, buildings b WHERE w.description IN ('Reeds In Watercourse', 'Watercourse') AND st_intersects(w.geometry, st_buffer(st_envelope(b.geometry), 150))) SELECT b.osid, b.description, b.geometry_wgs84 FROM buildings b, rivers r WHERE st_intersects(b.geometry, r.geometry)",proximity,expect_sql,"building,water",description,
35,Show me all the houses in {input_location} that are within a 20 minute walk of a hospital.,"WITH residential_buildings AS (  SELECT    osid,    description,    geometry,    geometry_wgs84  FROM    product_data_store.buildings.ngd_building  WHERE    buildinguse_addresscount_residential > 0 AND {input_location}),buffered_hospitals AS (  SELECT    st_union_agg(st_buffer(geometry, 1600)) AS geometry  FROM    product_data_store.sites.ngd_sites  WHERE    description = 'Hospital')SELECT  rb.osid,  rb.description,  rb.geometry_wgs84FROM  residential_buildings rb    JOIN buffered_hospitals h      ON st_intersects(h.geometry, rb.geometry)",proximity,expect_sql,"building,site","description,buildinguse_addresscount_residential ","Note the position of ""location"""
